trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.4, 'e': 0.9982005399352042}",20,0,-99.98321826461239,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
61,False,"{'a': 0.4, 'e': 0.9981400768384904}",20,0,-49.99885167835782,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.4, 'e': 0.9980786156017829}",20,0,-189.24696844701026,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
63,False,"{'a': 0.4, 'e': 0.9980161562865429}",30,0,-106.01670073453855,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
64,False,"{'a': 0.4, 'e': 0.99795269895523}",20,0,-102.85032700395902,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
65,False,"{'a': 0.4, 'e': 0.9978882436713011}",20,0,-63.70562828166648,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
66,False,"{'a': 0.4, 'e': 0.9978227904992117}",30,0,-100.84198664031011,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
67,False,"{'a': 0.4, 'e': 0.9977563395044151}",25,0,-146.2375541436742,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
68,False,"{'a': 0.4, 'e': 0.9976888907533621}",30,0,-93.31062403977013,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
69,False,"{'a': 0.4, 'e': 0.9976204443135014}",30,0,-132.36455772440456,"{0: 16, 1: 1, 2: 12, 3: 1, 4: 0}",0
70,False,"{'a': 0.4, 'e': 0.9975510002532796}",20,11,-18.304946408829533,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
71,False,"{'a': 0.4, 'e': 0.9974805586421406}",25,15,10.164987011027458,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.4, 'e': 0.9974091195505261}",20,0,-130.5861008682955,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
73,False,"{'a': 0.4, 'e': 0.9973366830498752}",25,0,-95.18377322356024,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
74,False,"{'a': 0.4, 'e': 0.9972632492126244}",25,0,-174.61878147152575,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
75,False,"{'a': 0.4, 'e': 0.9971888181122075}",20,0,-159.23502334446013,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
76,False,"{'a': 0.4, 'e': 0.9971133898230555}",25,0,-144.64096362506316,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
77,False,"{'a': 0.4, 'e': 0.9970369644205967}",20,3,-36.53494921272572,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 0}",1
78,False,"{'a': 0.4, 'e': 0.9969595419812568}",20,0,-69.54792042884121,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
79,False,"{'a': 0.4, 'e': 0.9968811225824579}",30,0,-155.02177958711246,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
80,False,"{'a': 0.4, 'e': 0.9968017063026194}",20,0,-24.97921753285501,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
81,False,"{'a': 0.4, 'e': 0.9967212932211577}",25,0,-99.82592744613243,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
82,False,"{'a': 0.4, 'e': 0.9966398834184859}",25,0,-119.45287454322472,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
83,False,"{'a': 0.4, 'e': 0.9965574769760137}",25,0,-218.04849808070585,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
84,False,"{'a': 0.4, 'e': 0.9964740739761475}",25,0,-128.6962695065222,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
85,False,"{'a': 0.4, 'e': 0.9963896745022904}",30,4,-34.032367519437095,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 0}",1
86,False,"{'a': 0.4, 'e': 0.996304278638842}",20,0,-144.69825753537697,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
87,False,"{'a': 0.4, 'e': 0.9962178864711978}",25,18,-40.23708726093784,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.4, 'e': 0.9961304980857502}",20,5,-20.45153805921222,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.4, 'e': 0.9960421135698875}",30,0,-26.684943440652553,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
90,False,"{'a': 0.4, 'e': 0.9959527330119943}",20,0,-72.16475485385439,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
